date	n	r L1_alb	prob	cpue_r L1_alb	prob	n	r L2_alb	prob	cpue_r L2_alb	prob	n	r L3_alb	prob	cpue_r L3_alb	prob	n	r L4_alb	prob	cpue_r L4_alb	prob	n	r L5_alb	prob	cpue_r L5_alb	prob	n	r L6_alb	prob	cpue_r L6_alb	prob	n	r L7_alb	prob	cpue_r L7_alb	prob	n	r T8_alb	prob	cpue_r T8_alb	prob	n	r G9_alb	prob	cpue_r G9_alb	prob	n	r L10_alb	prob	cpue_r L10_alb	prob	n	r L11_alb	prob	cpue_r L11_alb	prob	n	r L12_alb	prob	cpue_r L12_alb	prob	n	r L13_alb	prob	cpue_r L13_alb	prob	n	r L14_alb	prob	cpue_r L14_alb	prob	n	r L15_alb	prob	cpue_r L15_alb	prob	n	r L16_alb	prob	cpue_r L16_alb	prob	
5-1981	17	0.658296	0.00406504	0.384487	0.127556	63	0.879308	2.56707e-21	0.53821	5.37678e-06	56	0.951513	2.54888e-29	0.36978	0.00503267	0	0	1	0	1	0	0	1	0	1	168	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	15	0.820701	0.000177455	0.158218	0.573311	0	0	1	0	1	13	0.405807	0.168883	-0.632119	0.0204507	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
6-1981	14	0.808596	0.000463523	0.39586	0.161183	64	0.913523	6.64884e-26	0.684949	4.31475e-10	58	0.947067	2.60361e-29	0.562235	4.37213e-06	0	0	1	0	1	0	0	1	0	1	186	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	21	0.565236	0.00758177	-0.123493	0.593818	0	0	1	0	1	15	0.703697	0.00341605	0.527509	0.0432942	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
7-1981	12	0.980475	2.16274e-08	-0.0886223	0.784174	77	0.8345	4.22631e-21	0.62937	8.74666e-10	53	0.947187	7.55741e-27	0.521586	6.20186e-05	0	0	1	0	1	0	0	1	0	1	118	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	22	0.67373	0.000587224	-0.0944076	0.676021	0	0	1	0	1	13	0.723759	0.00516092	0.222239	0.465538	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
8-1981	17	0.876575	3.91039e-06	0.180217	0.48884	70	0.942268	5.00934e-34	0.595079	5.54636e-08	57	0.957764	1.89471e-31	0.273595	0.039465	0	0	1	0	1	0	0	1	0	1	96	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	23	0.758686	2.71749e-05	-0.389236	0.0663903	0	0	1	0	1	13	0.975706	1.34014e-08	0.607871	0.0275275	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
9-1981	17	0.940127	2.08041e-08	0.456594	0.0654204	71	0.853167	3.51638e-21	0.663778	2.8046e-10	58	0.869131	9.15699e-19	0.29885	0.0226804	0	0	1	0	1	0	0	1	0	1	144	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	29	0.507936	0.00490851	-0.400043	0.0315363	0	0	1	0	1	13	0.859274	0.000167292	0.283521	0.347879	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
10-1981	12	0.929079	1.25337e-05	0.504428	0.0944476	64	0.883008	4.89098e-22	0.436835	0.000307473	48	0.910764	2.73627e-19	0.270903	0.0625481	0	0	1	0	1	0	0	1	0	1	116	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	28	0.34948	0.0683139	0.250175	0.199149	0	0	1	0	1	14	0.818224	0.000347738	0.474335	0.0865918	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
11-1981	9	0.158607	0.683585	0.371511	0.324896	43	0.97529	1.64974e-28	0.768787	1.73763e-09	45	0.877667	2.5208e-15	0.496439	0.000523502	0	0	1	0	1	0	0	1	0	1	131	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	22	0.854666	4.10669e-07	0.10735	0.634429	0	0	1	0	1	15	0.51635	0.0487723	0.687416	0.00462811	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
12-1981	8	0.636993	0.0893931	0.166004	0.694413	52	0.94747	2.08789e-26	0.721001	1.65782e-09	40	0.911821	2.86091e-16	0.533422	0.000393702	0	0	1	0	1	0	0	1	0	1	133	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	17	0.938003	2.6852e-08	0.331886	0.193111	0	0	1	0	1	14	0.550293	0.0414501	0.469533	0.0902802	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
1-1982	17	0.466779	0.0589029	0.105741	0.686279	63	0.944597	3.2993e-31	0.651573	7.32708e-09	40	0.940868	1.86588e-19	0.489497	0.00134768	0	0	1	0	1	0	0	1	0	1	155	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	6	0.894259	0.0161807	0.750985	0.085292	0	0	1	0	1	15	0.674818	0.00578163	0.645286	0.00938018	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	
2-1982	15	0.748047	0.00134043	0.363423	0.183026	53	0.759054	4.50301e-11	0.150953	0.280611	31	0.891488	1.7434e-11	0.214914	0.245623	0	0	1	0	1	0	0	1	0	1	155	1	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	5	0.87216	0.0538055	-0.00646915	0.991763	0	0	1	0	1	16	0.767546	0.000518301	0.591431	0.015819	0	0	1	0	1	0	0	1	0	1	3	0.954586	0.192596	-0.348478	0.773398	0	0	1	0	1	
