length	sum_alb_region_1	sum_alb_region_2	sum_alb_region_3	sum_alb_region_4	sum_alb_region_5	sum_alb_region_6	sum_alb_region_7	sum_alb_region_8	
Quarter 1	
101.12	0	0	0	0	0	0	0	0	0	0	
101.42	0	0	0	0	0	0	0	0	0	0	
101.71	0	0	0	0	0	0	0	0	0	0	
102	0	0	0	0	0	0	0	0	0	0	
102.28	0	0	0	0	0	0	0	0	0	0	
102.55	0	0	0	0	0	0	0	0	0	0	
102.82	0	0	0	0	0	0	0	0	0	0	
103.09	0	0	0	0	0	0	0	0	0	0	
103.34	0	0	0	0	0	0	0	0	0	0	
103.6	0	0	0	0	0	0	0	0	0	0	
103.84	0	0	0	0	0	0	0	0	0	0	
104.09	0	0	0	0	0	0	0	0	0	0	
104.32	0	0	0	0	0	0	0	0	0	0	
104.56	0	0	0	0	0	0	0	0	0	0	
104.78	0	0	0	0	0	0	0	0	0	0	
105.01	0	0	0	0	0	0	0	0	0	0	
105.23	0	0	0	0	0	0	0	0	0	0	
105.44	0	0	0	0	0	0	0	0	0	0	
105.65	0	0	0	0	0	0	0	0	0	0	
105.85	0	0	0	0	0	0	0	0	0	0	
106.06	0	0	0	0	0	0	0	0	0	0	
106.25	0	0	0	0	0	0	0	0	0	0	
106.45	0	0	0	0	0	0	0	0	0	0	
106.63	0	0	0	0	0	0	0	0	0	0	
106.82	0	0	0	0	0	0	0	0	0	0	
107	0	0	0	0	0	0	0	0	0	0	
107.18	0	0	0	0	0	0	0	0	0	0	
107.35	0	0	0	0	0	0	0	0	0	0	
107.52	0	0	0	0	0	0	0	0	0	0	
107.69	0	0	0	0	0	0	0	0	0	0	
107.85	0	0	0	0	0	0	0	0	0	0	
108.01	0	0	0	0	0	0	0	0	0	0	
108.17	0	0	0	0	0	0	0	0	0	0	
108.33	0	0	0	0	0	0	0	0	0	0	
108.48	0	0	0	0	0	0	0	0	0	0	
108.62	0	0	0	0	0	0	0	0	0	0	
108.77	0	0	0	0	0	0	0	0	0	0	
108.91	0	0	0	0	0	0	0	0	0	0	
109.05	0	0	0	0	0	0	0	0	0	0	
109.18	0	0	0	0	0	0	0	0	0	0	
109.32	0	0	0	0	0	0	0	0	0	0	
109.45	0	0	0	0	0	0	0	0	0	0	
109.58	0	0	0	0	0	0	0	0	0	0	
109.7	0	0	0	0	0	0	0	0	0	0	
109.82	0	0	0	0	0	0	0	0	0	0	
109.94	0	0	0	0	0	0	0	0	0	0	
110.06	0	0	0	0	0	0	0	0	0	0	
110.18	0	0	0	0	0	0	0	0	0	0	
110.29	0	0	0	0	0	0	0	0	0	0	
110.4	0	0	0	0	0	0	0	0	0	0	
110.51	0	0	0	0	0	0	0	0	0	0	
110.61	0	0	0	0	0	0	0	0	0	0	
110.72	0	0	0	0	0	0	0	0	0	0	
110.82	0	0	0	0	0	0	0	0	0	0	
110.92	0	0	0	0	0	0	0	0	0	0	
111.02	0	0	0	0	0	0	0	0	0	0	
111.11	0	0	0	0	0	0	0	0	0	0	
111.21	0	0	0	0	0	0	0	0	0	0	
113.94	0	0	0	0	0	0	0	0	0	0	
Quarter 2	
